"","Year","Month","COUNTY","Total.Sales"
"731","2018","July","Lincoln",1230283.27
"732","2021","June","Yamhill",1229677.52
"733","2021","October","Clatsop",1229521.47
"734","2020","July","Columbia",1227909.55
"735","2020","May","Columbia",1226642.69
"736","2018","November","Umatilla",1225611.33
"737","2020","June","Clatsop",1223935.57
"738","2017","August","Lincoln",1222909.59
"739","2021","March","Yamhill",1222462.95
"740","2022","May","Yamhill",1222253.29
"741","2022","April","Clatsop",1221359.62
"742","2022","August","Coos",1220366.01
"743","2019","November","Linn",1219543.77
"744","2020","March","Josephine",1218655.51
"745","2020","December","Polk",1218541.16
"746","2021","August","Yamhill",1218312.51
"747","2022","October","Clatsop",1215397.45
"748","2019","December","Benton",1214560.64
"749","2020","June","Lincoln",1213818.49
"750","2022","February","Linn",1213366.54
"751","2021","November","Benton",1212566.11
"752","2018","November","Douglas",1212161.67
"753","2022","April","Benton",1211244.78
"754","2020","December","Coos",1208527.13
"755","2017","September","Umatilla",1207772.65
"756","2022","November","Columbia",1207124.6
"757","2017","December","Columbia",1205929.1
"758","2019","November","Douglas",1204913.29
"759","2019","October","Umatilla",1202302.51
"760","2017","December","Yamhill",1201265.4
"761","2021","July","Coos",1201037.1
"762","2020","October","Columbia",1198480.97
"763","2022","November","Clatsop",1198393.52
"764","2022","July","Coos",1198006.68
"765","2017","August","Clatsop",1197759.09
"766","2019","August","Douglas",1194924.08
"767","2021","September","Yamhill",1194021.79
"768","2020","April","Yamhill",1192643.84
"769","2022","January","Linn",1190026.9
"770","2017","December","Josephine",1188630.29
"771","2020","April","Josephine",1186129.04
"772","2021","July","Columbia",1184972.13
"773","2022","January","Umatilla",1184958.83
"774","2020","September","Yamhill",1183205.97
"775","2019","August","Umatilla",1179164.1
"776","2021","February","Umatilla",1177135.76
"777","2019","July","Linn",1174269.15
"778","2021","December","Klamath",1173362.78
"779","2020","October","Benton",1172202.31
"780","2020","August","Columbia",1172178.07
"781","2022","June","Benton",1172014.07
"782","2022","August","Columbia",1170621.21
"783","2022","May","Benton",1168449.64
"784","2020","June","Columbia",1166409.71
"785","2022","July","Columbia",1165076.03
"786","2017","December","Benton",1164029.17
"787","2022","December","Klamath",1163499.21
"788","2020","November","Columbia",1163440.18
"789","2022","February","Josephine",1161602.13
"790","2019","August","Linn",1160755.14
"791","2018","August","Linn",1160363.02
"792","2017","July","Lincoln",1157938.72
"793","2019","May","Umatilla",1156724.2
"794","2019","July","Douglas",1153567.46
"795","2018","July","Clatsop",1153475.88
"796","2019","November","Josephine",1152983.21
"797","2021","January","Josephine",1152099.82
"798","2022","September","Coos",1150229.74
"799","2018","December","Benton",1149242.43
"800","2021","August","Coos",1148870.58
"801","2022","February","Lincoln",1147851.94
"802","2022","March","Benton",1147538.95
"803","2021","February","Lincoln",1146212.19
"804","2019","October","Linn",1145517.19
"805","2021","November","Columbia",1144862.57
"806","2022","September","Columbia",1144203.58
"807","2020","November","Lincoln",1142939.7
"808","2019","December","Lincoln",1140017.05
"809","2022","June","Coos",1139861.5
"810","2021","October","Columbia",1139565.04
"811","2021","January","Lincoln",1139544.99
"812","2022","September","Benton",1137368.66
"813","2018","July","Umatilla",1135595.38
"814","2018","August","Douglas",1133856.51
"815","2022","January","Josephine",1133649.47
"816","2019","May","Douglas",1133454.28
"817","2021","November","Clatsop",1133024.43
"818","2018","August","Umatilla",1132146.36
"819","2020","April","Columbia",1131981.31
"820","2019","November","Yamhill",1131770.73
"821","2020","September","Columbia",1131166.11
"822","2021","April","Benton",1129711.66
"823","2021","March","Columbia",1125968.47
"824","2019","May","Linn",1125062.45
"825","2021","June","Benton",1123640.71
"826","2017","November","Umatilla",1122844.04
"827","2019","October","Douglas",1121435.08
"828","2022","October","Columbia",1117638.75
"829","2019","June","Umatilla",1117389.42
"830","2021","February","Josephine",1117136.67
"831","2019","October","Josephine",1116517.55
"832","2018","December","Lincoln",1116090.08
"833","2021","May","Benton",1115896.38
"834","2019","March","Umatilla",1115843.1
"835","2019","December","Clatsop",1115356.38
"836","2021","May","Columbia",1114560.74
"837","2018","June","Umatilla",1112821.63
"838","2020","November","Clatsop",1112369.47
"839","2021","September","Coos",1109658.21
"840","2020","March","Clatsop",1108937.3
"841","2020","March","Lincoln",1107776.71
"842","2019","September","Linn",1107679.03
"843","2021","April","Columbia",1105612.26
"844","2018","November","Linn",1104788.09
"845","2022","October","Coos",1104561.44
"846","2022","June","Columbia",1102875.43
"847","2021","May","Coos",1102594.29
"848","2022","February","Clatsop",1102508.08
"849","2019","March","Douglas",1102480.99
"850","2021","August","Columbia",1100973.29
"851","2020","March","Benton",1100771.5
"852","2022","February","Yamhill",1100122.69
"853","2018","November","Josephine",1099318.73
"854","2022","July","Benton",1098915.07
"855","2019","March","Linn",1097860.64
"856","2019","July","Josephine",1097836.56
"857","2022","April","Columbia",1097243.18
"858","2018","October","Umatilla",1096734.52
"859","2021","July","Benton",1096299.33
"860","2021","February","Yamhill",1095905.11
"861","2019","June","Douglas",1095527.72
"862","2022","January","Lincoln",1094312.07
"863","2019","December","Polk",1093335.72
"864","2021","March","Benton",1091628.51
"865","2020","December","Klamath",1090464.95
"866","2019","August","Josephine",1088426.43
"867","2022","August","Benton",1086474.55
"868","2019","May","Lincoln",1086093.96
"869","2018","December","Clatsop",1083800.84
"870","2021","June","Columbia",1083197.46
"871","2022","March","Coos",1082879.5
"872","2019","September","Lincoln",1082520.41
"873","2018","June","Douglas",1082448.8
"874","2021","January","Yamhill",1082388.86
"875","2019","May","Josephine",1082063.75
"876","2021","October","Coos",1081999.72
"877","2017","July","Umatilla",1079772.26
"878","2018","October","Linn",1079261.64
"879","2022","April","Coos",1079148.12
"880","2018","March","Douglas",1078958.76
"881","2018","March","Umatilla",1077510.92
"882","2019","June","Linn",1077301.36
"883","2022","November","Coos",1077096.98
"884","2022","February","Benton",1077094.73
"885","2018","May","Umatilla",1076837.63
"886","2022","May","Coos",1075997.8
"887","2020","February","Linn",1075792.56
"888","2019","March","Josephine",1074677.47
"889","2018","November","Columbia",1072362.02
"890","2021","November","Coos",1071302.54
"891","2019","November","Clatsop",1070626.27
"892","2022","March","Columbia",1070116.87
"893","2019","May","Clatsop",1068977.05
"894","2018","July","Douglas",1068680.73
"895","2021","September","Benton",1068041.58
"896","2019","November","Columbia",1068036.25
"897","2020","May","Benton",1066351.73
"898","2019","November","Lincoln",1066268.33
"899","2022","May","Columbia",1063337.22
"900","2020","November","Benton",1062952.01
"901","2020","February","Umatilla",1062599.91
"902","2020","February","Douglas",1060287.87
"903","2020","July","Coos",1058745.23
"904","2022","January","Yamhill",1057845.88
"905","2017","July","Douglas",1056419.22
"906","2019","June","Lincoln",1054682.97
"907","2019","September","Clatsop",1054609.27
"908","2018","December","Polk",1054178.2
"909","2021","September","Columbia",1054151.89
"910","2017","November","Douglas",1053803.7
"911","2018","May","Douglas",1052742.04
"912","2018","March","Linn",1052688.57
"913","2021","June","Coos",1051732.46
"914","2019","October","Lincoln",1051471.13
"915","2019","April","Douglas",1051250.55
"916","2019","October","Yamhill",1049388.03
"917","2017","September","Lincoln",1049263.23
"918","2019","November","Benton",1046929.28
"919","2020","September","Coos",1046047.59
"920","2022","May","Polk",1045656.87
"921","2018","July","Linn",1045274.39
"922","2017","July","Clatsop",1043928.91
"923","2020","August","Coos",1043733.22
"924","2020","June","Benton",1041821.4
"925","2019","March","Lincoln",1041151.42
"926","2021","February","Clatsop",1040392.4
"927","2019","October","Benton",1039995.17
"928","2019","April","Linn",1039558.31
"929","2020","May","Lincoln",1039485.75
"930","2020","July","Benton",1038545.34
"931","2018","June","Linn",1037731
"932","2019","June","Clatsop",1037287.59
"933","2018","September","Lincoln",1036070.43
"934","2019","April","Umatilla",1035905.07
"935","2020","August","Benton",1035318.8
"936","2017","August","Umatilla",1034623.74
"937","2022","August","Polk",1034115.48
"938","2017","August","Douglas",1033594.18
"939","2020","September","Benton",1031734.53
"940","2021","October","Polk",1031363.62
"941","2018","November","Benton",1029347.75
"942","2020","October","Coos",1026838.6
"943","2019","June","Josephine",1026240.5
"944","2019","May","Benton",1026099.47
"945","2020","May","Clatsop",1025809.98
"946","2022","November","Polk",1025247.87
"947","2017","October","Umatilla",1024538.13
"948","2022","October","Polk",1024045.17
"949","2018","June","Lincoln",1023531.01
"950","2022","July","Polk",1020728.34
"951","2021","April","Coos",1020636.97
"952","2021","July","Polk",1019617.05
"953","2019","May","Yamhill",1019103.08
"954","2018","May","Lincoln",1017700.45
"955","2018","September","Douglas",1017305.49
"956","2021","August","Benton",1015447.91
"957","2020","January","Douglas",1015270.08
"958","2017","September","Clatsop",1013799.78
"959","2018","October","Josephine",1013721.73
"960","2017","June","Douglas",1012464.87
"961","2019","July","Yamhill",1011471.15
"962","2019","September","Douglas",1010752.97
"963","2017","June","Umatilla",1008503.15
"964","2021","January","Columbia",1008264.89
"965","2017","October","Benton",1007316.37
"966","2020","January","Linn",1005819.71
"967","2017","December","Clatsop",1005058.76
"968","2017","November","Josephine",1003958.51
"969","2019","July","Columbia",1003601.03
"970","2018","October","Lincoln",1003071.31
"971","2020","January","Umatilla",1001418.21
"972","2018","September","Clatsop",1000252.84
"973","2018","June","Clatsop",1000201.3
"974","2021","January","Clatsop",999708.79
"975","2018","October","Douglas",999632.02
"976","2022","January","Benton",998724.65
"977","2022","January","Clatsop",998686.29
"978","2021","February","Columbia",997684.07
"979","2017","December","Polk",997324.77
"980","2019","October","Columbia",996850.28
"981","2019","October","Clatsop",994604.23
"982","2017","May","Umatilla",993711.85
"983","2018","May","Linn",993183.13
"984","2020","February","Lincoln",993114.56
"985","2018","March","Clatsop",991858.47
"986","2021","November","Polk",991823.57
"987","2019","September","Yamhill",991683.5
"988","2021","March","Coos",991621.73
"989","2017","August","Linn",991528.78
"990","2017","October","Douglas",991516.04
"991","2018","March","Lincoln",990980.17
"992","2017","March","Douglas",989930.55
"993","2019","February","Linn",988218.04
"994","2019","August","Columbia",988212.51
"995","2017","May","Douglas",987714
"996","2020","January","Josephine",985990.77
"997","2019","August","Yamhill",985041.99
"998","2022","February","Columbia",983848.72
"999","2020","February","Josephine",983003.69
"1000","2019","April","Josephine",982843.61
"1001","2018","August","Josephine",982257.63
"1002","2019","May","Columbia",981801.86
"1003","2019","March","Clatsop",980476.22
"1004","2020","October","Polk",976846.81
"1005","2018","January","Umatilla",975987.59
"1006","2017","September","Douglas",974756.98
"1007","2017","June","Lincoln",974724.06
"1008","2018","November","Lincoln",974079.14
"1009","2022","June","Polk",973669.3
"1010","2018","November","Yamhill",972382.45
"1011","2019","December","Coos",970731.6
"1012","2019","September","Josephine",970330.12
"1013","2018","August","Columbia",969793.28
"1014","2019","June","Yamhill",968716.3
"1015","2018","May","Clatsop",965967.34
"1016","2019","February","Douglas",965703.48
"1017","2017","November","Benton",965277.77
"1018","2017","March","Umatilla",964022.79
"1019","2019","September","Columbia",961839.07
"1020","2018","April","Umatilla",961158.88
"1021","2019","January","Linn",959639.65
"1022","2021","August","Polk",959445.25
"1023","2020","February","Yamhill",957410.76
"1024","2017","December","Lincoln",957310.73
"1025","2021","February","Benton",956150.4
"1026","2020","June","Coos",954271.9
"1027","2022","March","Polk",953763.97
"1028","2020","April","Benton",953497.9
"1029","2019","April","Lincoln",953091.39
"1030","2018","October","Benton",952677.73
"1031","2020","March","Coos",952642.32
"1032","2019","March","Columbia",949856.24
"1033","2018","September","Linn",949472.8
"1034","2018","March","Josephine",949188.82
"1035","2019","January","Douglas",949095.98
"1036","2022","January","Columbia",947933.2
"1037","2018","December","Coos",947929.6
"1038","2019","June","Columbia",947461.3
"1039","2019","April","Clatsop",947191
"1040","2020","November","Coos",945215.81
"1041","2017","October","Josephine",944585.07
"1042","2018","June","Josephine",943401.92
"1043","2018","April","Douglas",941492.02
"1044","2017","August","Benton",940959.79
"1045","2019","January","Umatilla",940940.79
"1046","2018","August","Yamhill",940198.95
"1047","2018","July","Columbia",939828.61
"1048","2018","November","Clatsop",939817.26
"1049","2019","March","Benton",939678.1
"1050","2017","May","Benton",939474.23
"1051","2021","May","Polk",939348.28
"1052","2017","June","Clatsop",938962.89
"1053","2017","June","Benton",938766.69
"1054","2020","May","Coos",938024.74
"1055","2021","April","Polk",937604.14
"1056","2021","January","Benton",936876.56
"1057","2021","March","Polk",935856.72
"1058","2022","September","Polk",935387.58
"1059","2018","May","Josephine",935217.49
"1060","2018","October","Clatsop",934675.06
"1061","2019","August","Coos",934666.62
"1062","2020","March","Polk",932653.71
"1063","2017","August","Columbia",932321.99
"1064","2022","February","Coos",929384.2
"1065","2020","July","Polk",928306.89
"1066","2020","February","Benton",927497.89
"1067","2019","February","Umatilla",927053.35
"1068","2018","May","Benton",926139.79
"1069","2018","June","Columbia",925459
"1070","2018","February","Douglas",922678.63
"1071","2017","May","Lincoln",921295.84
"1072","2022","July","Klamath",920899.98
"1073","2018","June","Yamhill",920344.66
"1074","2018","July","Josephine",918937.15
"1075","2019","August","Benton",918520.63
"1076","2020","February","Clatsop",916950.09
"1077","2018","March","Benton",916796.5
"1078","2018","June","Benton",916712.93
"1079","2017","September","Benton",915003.8
"1080","2021","October","Klamath",914395.74
"1081","2018","April","Lincoln",914080.46
"1082","2017","April","Douglas",913460.76
"1083","2017","April","Umatilla",912412.35
"1084","2019","April","Benton",911591.29
"1085","2019","June","Benton",911508.64
"1086","2020","January","Yamhill",910919.91
"1087","2017","November","Columbia",910465.94
"1088","2017","March","Benton",910383.67
"1089","2021","June","Polk",910104.29
"1090","2017","October","Lincoln",910035.38
"1091","2021","July","Klamath",909907.52
"1092","2018","February","Umatilla",909746.42
"1093","2018","September","Josephine",909268.56
"1094","2017","December","Coos",908988.31
"1095","2020","August","Polk",908757.46
"1096","2018","April","Linn",908375.51
"1097","2020","February","Columbia",907226.32
"1098","2022","January","Coos",906467.48
"1099","2020","May","Polk",905949.85
"1100","2022","November","Klamath",905569.5
"1101","2020","November","Polk",905526.42
"1102","2020","January","Benton",905491.1
"1103","2018","October","Yamhill",905117.52
"1104","2019","December","Klamath",903453.86
"1105","2018","March","Yamhill",903451.95
"1106","2017","March","Josephine",902254.94
"1107","2020","October","Klamath",901878.82
"1108","2017","July","Columbia",901837.58
"1109","2017","November","Yamhill",901097.68
"1110","2017","November","Linn",900574.32
"1111","2019","July","Coos",900167.62
"1112","2018","May","Yamhill",900046.53
"1113","2018","July","Yamhill",899833.32
"1114","2020","June","Polk",899450.86
"1115","2017","March","Lincoln",898418.58
"1116","2018","May","Columbia",898383.25
"1117","2018","March","Columbia",895589.43
"1118","2017","May","Clatsop",895479.91
"1119","2017","August","Yamhill",894851.69
"1120","2020","January","Lincoln",893846.5
"1121","2022","June","Klamath",892905.09
"1122","2018","January","Douglas",891501.47
"1123","2022","October","Klamath",891137.68
"1124","2020","April","Clatsop",891041.5
"1125","2017","June","Josephine",889928.66
"1126","2017","August","Josephine",889915.27
"1127","2022","August","Klamath",889427.61
"1128","2017","July","Josephine",888556.1
"1129","2020","April","Lincoln",887321.16
"1130","2019","July","Benton",887214.23
"1131","2017","July","Linn",886183.52
"1132","2018","August","Coos",886114.54
"1133","2017","June","Columbia",885237.65
"1134","2020","September","Polk",884353.42
"1135","2019","April","Columbia",881399.84
"1136","2019","January","Josephine",881173.94
"1137","2019","April","Yamhill",880573.57
"1138","2019","March","Yamhill",880558.49
"1139","2022","May","Klamath",880222.56
"1140","2021","February","Coos",880059.89
"1141","2019","August","Polk",880017.81
"1142","2020","July","Klamath",879888.49
"1143","2017","May","Josephine",878003.95
"1144","2020","January","Columbia",876638.19
"1145","2018","December","Klamath",873700.98
"1146","2021","June","Klamath",873556.24
"1147","2021","November","Klamath",873431.75
"1148","2019","February","Lincoln",871694.9
"1149","2017","September","Josephine",871588.7
"1150","2017","March","Clatsop",871235.81
"1151","2017","November","Clatsop",869143.67
"1152","2020","May","Klamath",868412.78
"1153","2017","November","Lincoln",866982.96
"1154","2017","April","Benton",866164.68
"1155","2019","November","Polk",865922.55
"1156","2017","October","Clatsop",865819.34
"1157","2017","February","Douglas",865138.11
"1158","2019","February","Yamhill",864309.84
"1159","2022","February","Polk",864133.04
"1160","2021","September","Polk",863717.83
"1161","2021","January","Coos",861865.07
"1162","2019","October","Polk",861106.1
"1163","2017","February","Benton",860928.94
"1164","2020","June","Klamath",860320.88
"1165","2017","October","Columbia",860017.65
"1166","2018","April","Clatsop",859190.61
"1167","2021","March","Klamath",858772.98
"1168","2018","October","Columbia",858638.31
"1169","2022","April","Klamath",858185.79
"1170","2017","June","Yamhill",857930.09
"1171","2020","August","Klamath",857279.9
"1172","2017","July","Yamhill",856896.5
"1173","2021","May","Klamath",856030.93
"1174","2019","July","Polk",855959.2
"1175","2018","July","Coos",855748.74
"1176","2018","January","Lincoln",855634.45
"1177","2018","September","Columbia",855506.14
"1178","2017","April","Lincoln",854998.61
"1179","2022","September","Klamath",854683.91
"1180","2021","April","Klamath",853651.21
"1181","2020","January","Clatsop",851916.55
"1182","2019","September","Benton",849051.25
"1183","2017","October","Yamhill",847985.22
"1184","2018","July","Polk",847220.85
"1185","2018","February","Lincoln",846902.54
"1186","2017","May","Columbia",846263.08
"1187","2017","July","Benton",845392.97
"1188","2022","April","Polk",844876.92
"1189","2017","October","Linn",844827.61
"1190","2020","November","Klamath",844715.05
"1191","2017","February","Umatilla",844395.48
"1192","2018","April","Josephine",843294.31
"1193","2018","April","Benton",843059.04
"1194","2017","September","Columbia",842223.56
"1195","2017","June","Linn",841330.26
"1196","2017","December","Klamath",841103.33
"1197","2017","March","Columbia",840056.07
"1198","2019","February","Josephine",839519.33
"1199","2017","March","Yamhill",839424.98
"1200","2019","January","Lincoln",839218.36
"1201","2019","February","Columbia",839128.67
"1202","2022","March","Klamath",838951
"1203","2021","August","Klamath",838250.61
"1204","2018","August","Benton",833191.02
"1205","2019","October","Coos",832348.96
"1206","2019","June","Polk",830580.16
"1207","2017","September","Linn",828993.77
"1208","2017","September","Yamhill",828602.19
"1209","2021","July","Tillamook",828502.36
"1210","2018","September","Yamhill",825885.94
"1211","2017","May","Yamhill",825327.59
"1212","2019","February","Clatsop",823548.06
"1213","2020","April","Coos",823187.26
"1214","2020","September","Klamath",822955.99
"1215","2019","January","Columbia",822758.48
"1216","2021","September","Klamath",822285.92
"1217","2021","January","Polk",822250.56
"1218","2018","September","Benton",822238.24
"1219","2019","January","Benton",822132.99
"1220","2019","May","Polk",820872.76
"1221","2017","March","Linn",820255.81
"1222","2017","April","Josephine",819635.8
"1223","2022","January","Polk",818926.87
"1224","2019","November","Coos",818847.36
"1225","2019","May","Coos",815327.81
"1226","2018","February","Josephine",815247.18
"1227","2018","February","Benton",814341.08
"1228","2019","September","Coos",814043.8
"1229","2017","May","Linn",812552.78
"1230","2018","January","Benton",812269.86
"1231","2018","April","Columbia",811446.37
"1232","2017","April","Clatsop",807683.6
"1233","2018","November","Polk",806332.33
"1234","2018","February","Linn",806267.57
"1235","2021","February","Polk",805549.23
"1236","2019","February","Benton",804745.69
"1237","2022","July","Tillamook",803363.71
"1238","2020","April","Polk",801536.6
"1239","2017","February","Lincoln",799028.19
"1240","2018","November","Coos",798110.38
"1241","2017","August","Coos",797174.65
"1242","2019","February","Polk",797104.95
"1243","2019","March","Polk",795223.53
"1244","2018","January","Linn",795028.33
"1245","2017","April","Columbia",793991.56
"1246","2018","January","Josephine",792721.59
"1247","2019","March","Coos",792674.75
"1248","2018","September","Coos",791904.49
"1249","2018","June","Coos",791513.9
"1250","2019","June","Coos",788934.04
"1251","2018","April","Yamhill",786976.03
"1252","2018","September","Polk",786213.09
"1253","2020","April","Klamath",783987
"1254","2017","February","Josephine",782275.13
"1255","2017","July","Coos",781361.5
"1256","2018","February","Columbia",780882.58
"1257","2018","May","Coos",780279.3
"1258","2018","July","Benton",774381.26
"1259","2018","March","Coos",773969.4
"1260","2018","October","Polk",772178.94
"1261","2017","April","Yamhill",770179.9
"1262","2020","March","Klamath",769788.17
"1263","2022","February","Klamath",769516.21
"1264","2017","September","Coos",769119.27
"1265","2022","August","Tillamook",767873.53
"1266","2019","April","Polk",767860.48
"1267","2019","April","Coos",765589.14
"1268","2020","February","Polk",764906.41
"1269","2017","August","Polk",763823.16
"1270","2018","January","Columbia",762736.69
"1271","2018","October","Coos",761940.28
"1272","2018","May","Polk",761527.38
"1273","2017","April","Linn",760286.24
"1274","2019","January","Clatsop",759715.33
"1275","2018","March","Polk",758894.47
"1276","2018","February","Yamhill",757558.2
"1277","2018","August","Polk",754308.58
"1278","2020","February","Coos",748123.07
"1279","2021","February","Klamath",746007.49
"1280","2021","January","Klamath",744609.67
"1281","2017","February","Clatsop",743218.5
"1282","2019","September","Polk",742041.72
"1283","2017","February","Columbia",740228.56
"1284","2022","January","Klamath",739710.27
"1285","2020","August","Tillamook",737806.09
"1286","2019","January","Yamhill",736612.83
"1287","2022","December","Hood River",736611.64
"1288","2018","January","Yamhill",732333.64
"1289","2019","August","Klamath",727620.99
"1290","2017","June","Coos",727389.59
"1291","2020","January","Polk",725734.41
"1292","2020","July","Tillamook",725416.98
"1293","2017","November","Polk",725291.24
"1294","2021","August","Tillamook",723454.31
"1295","2017","November","Coos",723054.82
"1296","2020","January","Coos",719096.61
"1297","2018","January","Clatsop",718941.46
"1298","2017","March","Coos",717078.64
"1299","2017","February","Linn",715472.68
"1300","2017","October","Coos",710459.6
"1301","2017","February","Yamhill",709926.96
"1302","2021","December","Hood River",708096.95
"1303","2020","December","Hood River",707816.46
"1304","2017","July","Polk",704507.01
"1305","2017","June","Polk",704055.3
"1306","2019","October","Klamath",703520.82
"1307","2019","November","Klamath",702598.73
"1308","2018","April","Coos",702233.95
"1309","2017","May","Coos",700505.78
"1310","2019","July","Klamath",698535.04
"1311","2019","February","Coos",697785.98
"1312","2019","June","Klamath",697250.23
"1313","2019","May","Klamath",692659.12
"1314","2017","October","Polk",689739.43
"1315","2018","August","Klamath",687683.63
"1316","2018","February","Clatsop",686348.27
"1317","2017","May","Polk",685213.11
"1318","2019","January","Coos",680038.65
"1319","2022","December","Tillamook",677973.66
"1320","2022","September","Tillamook",676711.56
"1321","2022","December","Wasco",676596.16
"1322","2018","November","Klamath",676509.63
"1323","2018","June","Klamath",674086.29
"1324","2021","June","Tillamook",673750.19
"1325","2017","September","Polk",672247.46
"1326","2021","December","Wasco",671708.8
"1327","2018","April","Polk",668899.74
"1328","2017","April","Coos",667171.52
"1329","2020","September","Tillamook",666185.72
"1330","2021","September","Tillamook",663796.01
"1331","2020","December","Tillamook",662044.32
"1332","2018","June","Polk",661054.78
"1333","2021","December","Tillamook",658803.46
"1334","2018","February","Coos",658199.01
"1335","2018","July","Klamath",656149.48
"1336","2018","February","Polk",654703.76
"1337","2018","October","Klamath",654625.38
"1338","2017","March","Polk",654582.44
"1339","2017","August","Klamath",652808.84
"1340","2020","October","Tillamook",652477.06
"1341","2021","May","Tillamook",650571.9
"1342","2018","May","Klamath",648059.51
"1343","2021","July","Hood River",647303.07
"1344","2019","March","Klamath",645111.63
"1345","2019","August","Tillamook",643716.44
"1346","2017","April","Polk",642935.21
"1347","2020","December","Wasco",640937.72
"1348","2018","March","Klamath",639870.25
"1349","2017","October","Klamath",639806.47
"1350","2018","January","Coos",638099.37
"1351","2022","July","Hood River",635208.34
"1352","2019","September","Klamath",632965.1
"1353","2022","June","Tillamook",632611.45
"1354","2017","November","Klamath",632050.25
"1355","2019","December","Hood River",628466.59
"1356","2019","July","Tillamook",627163.47
"1357","2020","February","Klamath",624551.53
"1358","2018","December","Hood River",623553.52
"1359","2017","June","Klamath",623299.8
"1360","2017","February","Coos",623043.38
"1361","2018","January","Polk",620819.54
"1362","2021","October","Tillamook",619517.62
"1363","2017","July","Klamath",618274.87
"1364","2017","September","Klamath",613569.91
"1365","2017","February","Polk",606343.93
"1366","2019","April","Klamath",604732.69
"1367","2021","April","Tillamook",604047.55
"1368","2021","March","Tillamook",601648.45
"1369","2017","May","Klamath",600845.88
"1370","2022","October","Tillamook",600148.16
"1371","2018","September","Klamath",599871.79
"1372","2022","August","Hood River",599274.61
"1373","2020","June","Tillamook",598985.17
"1374","2018","August","Tillamook",598090.8
"1375","2020","January","Klamath",597135.57
"1376","2022","May","Tillamook",592166.47
"1377","2022","July","Wasco",590154.57
"1378","2017","December","Hood River",589980.88
"1379","2019","February","Klamath",588967.09
"1380","2021","June","Hood River",585721.97
"1381","2022","March","Tillamook",584179.41
"1382","2018","July","Tillamook",582746
"1383","2021","July","Wasco",582069
"1384","2019","January","Polk",579279.45
"1385","2020","July","Hood River",579120.15
"1386","2022","November","Tillamook",578043.05
"1387","2021","August","Hood River",577474.98
"1388","2022","August","Wasco",574701.09
"1389","2018","April","Klamath",573716.02
"1390","2018","December","Wasco",572822.98
"1391","2021","May","Wasco",572165.97
"1392","2019","December","Wasco",571282.43
"1393","2021","May","Hood River",570532.83
"1394","2021","November","Tillamook",568932.28
"1395","2022","June","Hood River",567190.7
"1396","2017","March","Klamath",565937.81
"1397","2022","April","Tillamook",565340.86
"1398","2022","May","Wasco",565283.89
"1399","2020","August","Hood River",561578.34
"1400","2019","January","Klamath",559607.15
"1401","2022","June","Wasco",557722.68
"1402","2020","November","Tillamook",557571.95
"1403","2021","October","Hood River",556563
"1404","2017","December","Wasco",556144.74
"1405","2022","September","Wasco",554900.15
"1406","2021","October","Wasco",554381.48
"1407","2020","October","Hood River",554097.9
"1408","2019","July","Hood River",552494.01
"1409","2017","August","Tillamook",552491.69
"1410","2017","July","Tillamook",551824.99
"1411","2021","August","Wasco",550805.28
"1412","2022","November","Wasco",548196.04
"1413","2018","February","Klamath",547256.04
"1414","2021","September","Hood River",547233.35
"1415","2020","November","Hood River",546781.48
"1416","2021","November","Wasco",544147.97
"1417","2022","October","Wasco",543690.14
"1418","2020","July","Wasco",542907.79
"1419","2020","May","Tillamook",538941.33
"1420","2021","June","Wasco",538794.06
"1421","2022","November","Hood River",538482.02
"1422","2021","November","Hood River",535777.67
"1423","2021","April","Wasco",534153.98
"1424","2022","April","Wasco",533783.95
"1425","2017","April","Klamath",532222.42
"1426","2020","August","Wasco",532007.22
"1427","2019","August","Hood River",531774.4
"1428","2021","September","Wasco",530360.01
"1429","2020","May","Wasco",530121.43
"1430","2022","September","Hood River",530116.14
"1431","2020","June","Hood River",529421.3
"1432","2019","December","Tillamook",528907.22
"1433","2020","September","Hood River",526536.51
"1434","2018","January","Klamath",526077.1
"1435","2021","April","Hood River",524878.85
"1436","2020","October","Wasco",524776.8
"1437","2021","February","Tillamook",524500.43
"1438","2020","March","Tillamook",524261.07
"1439","2020","June","Wasco",522504.48
"1440","2022","May","Hood River",522427.41
"1441","2022","October","Hood River",521555.65
"1442","2018","August","Hood River",521435.82
"1443","2021","March","Wasco",521248.12
"1444","2020","May","Hood River",517755.91
"1445","2018","July","Hood River",517742.39
"1446","2020","November","Wasco",515847.6
"1447","2019","August","Wasco",515274.1
"1448","2022","February","Tillamook",512980.56
"1449","2020","March","Wasco",511747.32
"1450","2022","April","Hood River",511511.86
"1451","2021","March","Hood River",510982.02
"1452","2022","March","Wasco",509412.88
"1453","2017","February","Klamath",508738.28
"1454","2019","July","Wasco",507188.98
"1455","2021","January","Tillamook",506317.03
"1456","2020","September","Wasco",505554.34
"1457","2019","June","Tillamook",504270.43
"1458","2022","December","Malheur",501881.25
"1459","2018","December","Tillamook",499569.83
"1460","2019","November","Tillamook",498922.35
"1461","2018","September","Tillamook",497293.09
"1462","2017","August","Hood River",493711.17
"1463","2017","July","Hood River",492734.69
"1464","2020","March","Hood River",492571.89
"1465","2019","May","Tillamook",490924.61
"1466","2017","September","Tillamook",489609.07
"1467","2019","September","Tillamook",485949.94
"1468","2018","June","Tillamook",479633.51
"1469","2019","November","Wasco",479579.57
