"","Year","Month","COUNTY","Total.Sales"
"166","2021","April","Clackamas",6250984.68
"167","2017","September","Washington",6244515.42
"168","2022","September","Clackamas",6217115.62
"169","2022","March","Clackamas",6214386.3
"170","2017","March","Washington",6210697.78
"171","2022","May","Clackamas",6201190.27
"172","2018","April","Washington",6185872.62
"173","2019","January","Washington",6140640.82
"174","2021","September","Clackamas",6138552.03
"175","2022","December","Marion",5994781.98
"176","2020","December","Deschutes",5929838.64
"177","2019","December","Lane",5916964.07
"178","2021","December","Marion",5904857.69
"179","2022","July","Deschutes",5903563.89
"180","2017","April","Washington",5903088.69
"181","2018","February","Washington",5881355.49
"182","2019","November","Clackamas",5867105.38
"183","2022","November","Lane",5848129.41
"184","2021","October","Lane",5835566.78
"185","2020","September","Clackamas",5832362.49
"186","2020","April","Clackamas",5795657.75
"187","2022","July","Lane",5791823.73
"188","2018","December","Lane",5790318.3
"189","2022","August","Deschutes",5785334.4
"190","2019","August","Clackamas",5755492.98
"191","2021","July","Lane",5735684.4
"192","2021","November","Lane",5731638.44
"193","2021","July","Deschutes",5710346.72
"194","2022","October","Lane",5698271.41
"195","2018","January","Washington",5642133.46
"196","2022","August","Lane",5641947.83
"197","2022","February","Clackamas",5626693.23
"198","2022","May","Lane",5623374.45
"199","2021","January","Clackamas",5563559.92
"200","2017","February","Washington",5561304.65
"201","2020","October","Lane",5556591.38
"202","2022","September","Lane",5556029.12
"203","2017","December","Lane",5549652.34
"204","2022","March","Lane",5546758.96
"205","2018","November","Clackamas",5537903.87
"206","2020","March","Lane",5537482.53
"207","2019","July","Clackamas",5533495.19
"208","2022","April","Lane",5514275.39
"209","2022","June","Lane",5501761.34
"210","2022","June","Deschutes",5496121.21
"211","2021","February","Clackamas",5477712.17
"212","2020","July","Lane",5460541.08
"213","2021","May","Lane",5460224.12
"214","2020","May","Lane",5455079.35
"215","2021","April","Lane",5429172.47
"216","2020","December","Marion",5413927.91
"217","2022","January","Clackamas",5413179.67
"218","2021","June","Lane",5391161.52
"219","2021","March","Lane",5374295.93
"220","2019","May","Clackamas",5341143.96
"221","2021","September","Lane",5330827.65
"222","2019","October","Clackamas",5324012.84
"223","2021","August","Lane",5315433.42
"224","2018","August","Clackamas",5294313.01
"225","2021","August","Deschutes",5291633.95
"226","2018","July","Clackamas",5265679.89
"227","2020","August","Lane",5239119.26
"228","2020","June","Lane",5207690.71
"229","2019","June","Clackamas",5196629.95
"230","2022","September","Deschutes",5195202.39
"231","2020","November","Lane",5193748.85
"232","2020","July","Deschutes",5150256.44
"233","2019","March","Clackamas",5081947.67
"234","2021","June","Deschutes",5051244.98
"235","2022","November","Deschutes",5040018.2
"236","2022","May","Deschutes",5015140.28
"237","2022","February","Lane",5006312.71
"238","2020","September","Lane",5001228.06
"239","2019","November","Lane",5000126.11
"240","2018","June","Clackamas",4996304.61
"241","2018","May","Clackamas",4978843.07
"242","2019","December","Deschutes",4943304.51
"243","2020","February","Clackamas",4933073.57
"244","2018","November","Lane",4930025.97
"245","2017","August","Clackamas",4924092.96
"246","2022","October","Deschutes",4910268.01
"247","2020","August","Deschutes",4908379.59
"248","2019","October","Lane",4903137.73
"249","2021","May","Deschutes",4901185.64
"250","2020","April","Lane",4891064.23
"251","2021","October","Deschutes",4887373.82
"252","2017","November","Clackamas",4873239.95
"253","2018","March","Clackamas",4871529.66
"254","2019","September","Clackamas",4862590.68
"255","2019","August","Lane",4856756.03
"256","2022","March","Deschutes",4853371.49
"257","2021","September","Deschutes",4837213.64
"258","2021","November","Deschutes",4829317.5
"259","2017","July","Clackamas",4823075.4
"260","2019","April","Clackamas",4809781.44
"261","2022","April","Deschutes",4798755.6
"262","2018","October","Clackamas",4797796.74
"263","2019","May","Lane",4791255.64
"264","2022","January","Lane",4775822.37
"265","2019","July","Lane",4754426.09
"266","2020","January","Clackamas",4743121.4
"267","2020","October","Deschutes",4740070.84
"268","2018","December","Deschutes",4712989.25
"269","2019","February","Clackamas",4687437.65
"270","2021","January","Lane",4679282.66
"271","2018","September","Clackamas",4675342.87
"272","2021","February","Lane",4643974.93
"273","2017","June","Clackamas",4633215.9
"274","2021","March","Deschutes",4631948.32
"275","2017","October","Clackamas",4626334.07
"276","2018","August","Lane",4620378.21
"277","2019","December","Marion",4619452.28
"278","2020","June","Deschutes",4603284
"279","2019","March","Lane",4596219.57
"280","2021","April","Deschutes",4578484.23
"281","2019","June","Lane",4543666.74
"282","2020","May","Deschutes",4541180.18
"283","2018","May","Lane",4528794.77
"284","2019","January","Clackamas",4526380.74
"285","2018","July","Lane",4492836.85
"286","2018","June","Lane",4492243.12
"287","2020","September","Deschutes",4492195.89
"288","2017","May","Clackamas",4489719.77
"289","2017","September","Clackamas",4461747.7
"290","2018","March","Lane",4439437.63
"291","2022","November","Marion",4432888.53
"292","2018","December","Marion",4427645
"293","2019","August","Deschutes",4423294.93
"294","2020","November","Deschutes",4423290.54
"295","2018","April","Clackamas",4410250.37
"296","2020","February","Lane",4397015.43
"297","2019","July","Deschutes",4379648.66
"298","2018","October","Lane",4366735.2
"299","2022","February","Deschutes",4336608.45
"300","2019","April","Lane",4329261.54
"301","2017","August","Lane",4325391.63
"302","2019","September","Lane",4323542.11
"303","2017","March","Clackamas",4304411.98
"304","2017","October","Lane",4282695.89
"305","2017","December","Deschutes",4281738.44
"306","2017","November","Lane",4265383.57
"307","2018","February","Clackamas",4254976.03
"308","2021","July","Marion",4254707.17
"309","2017","September","Lane",4250147.26
"310","2022","July","Marion",4247964.19
"311","2021","November","Marion",4243038.55
"312","2020","March","Deschutes",4230236.44
"313","2017","June","Lane",4229217.32
"314","2017","December","Marion",4228627.52
"315","2020","January","Lane",4225702.16
"316","2022","October","Marion",4223740.24
"317","2018","September","Lane",4216041.77
"318","2017","July","Lane",4214207.13
"319","2022","August","Marion",4207823.23
"320","2021","October","Marion",4197085.17
"321","2022","December","Jackson",4182427.21
"322","2017","May","Lane",4174667.97
"323","2021","December","Jackson",4158860.72
"324","2022","January","Deschutes",4143071.15
"325","2022","June","Marion",4131674.42
"326","2020","October","Marion",4124312.41
"327","2018","January","Clackamas",4121514.09
"328","2022","May","Marion",4120751.75
"329","2021","February","Deschutes",4109037.59
"330","2022","April","Marion",4106038.77
"331","2017","March","Lane",4084441.02
"332","2017","April","Clackamas",4069410.25
"333","2022","March","Marion",4061151.31
"334","2022","September","Marion",4060755.51
"335","2019","February","Lane",4042541.17
"336","2020","July","Marion",4041473.19
"337","2021","April","Marion",4035376.61
"338","2018","August","Deschutes",4011017.44
"339","2018","July","Deschutes",4002447.14
"340","2021","March","Marion",3991370.07
"341","2019","January","Lane",3966688.68
"342","2018","April","Lane",3956303.24
"343","2020","May","Marion",3953069.13
"344","2021","May","Marion",3949981.63
"345","2021","August","Marion",3946887.9
"346","2021","June","Marion",3943708.23
"347","2021","January","Deschutes",3935036.66
"348","2020","November","Marion",3920197.3
"349","2020","March","Marion",3897401.7
"350","2021","September","Marion",3891113.73
"351","2017","February","Clackamas",3869686.2
"352","2017","April","Lane",3864453.54
"353","2020","August","Marion",3864190.52
"354","2017","August","Deschutes",3849423.86
"355","2019","June","Deschutes",3839723.36
"356","2020","June","Marion",3804334.64
"357","2018","February","Lane",3801274.9
"358","2019","May","Deschutes",3788751.58
"359","2019","November","Deschutes",3787039.96
"360","2020","April","Deschutes",3778728.95
"361","2018","January","Lane",3766818.61
"362","2019","October","Deschutes",3750807.49
"363","2020","December","Jackson",3742028.88
"364","2017","February","Lane",3708855.29
"365","2019","November","Marion",3681776.07
"366","2017","July","Deschutes",3675462.62
"367","2020","September","Marion",3628850.91
"368","2022","February","Marion",3623654.43
"369","2018","June","Deschutes",3592882.26
"370","2018","November","Deschutes",3573405.51
"371","2020","April","Marion",3553616.13
"372","2019","September","Deschutes",3546362.19
"373","2018","May","Deschutes",3505540.99
"374","2022","January","Marion",3495638.16
"375","2019","March","Deschutes",3491540.06
"376","2021","January","Marion",3436451.7
"377","2019","August","Marion",3399761.2
"378","2021","February","Marion",3399284.85
"379","2020","February","Deschutes",3385568.89
"380","2018","September","Deschutes",3355823.84
"381","2019","April","Deschutes",3328187.23
"382","2017","June","Deschutes",3311878.86
"383","2019","July","Marion",3311650.71
"384","2018","October","Deschutes",3298697.48
"385","2020","January","Deschutes",3292204.78
"386","2018","November","Marion",3282159.03
"387","2018","March","Deschutes",3243538.43
"388","2022","November","Jackson",3220765.21
"389","2019","May","Marion",3210449.01
"390","2019","December","Jackson",3203135.92
"391","2019","October","Marion",3168529.08
"392","2019","February","Deschutes",3152115.68
"393","2022","June","Jackson",3145277.34
"394","2022","July","Jackson",3136447.94
"395","2018","August","Marion",3133566.3
"396","2017","May","Deschutes",3130556.48
"397","2019","June","Marion",3121550.31
"398","2021","October","Jackson",3112496.1
"399","2019","March","Marion",3090811.93
"400","2021","November","Jackson",3081121.03
"401","2020","February","Marion",3077955.16
"402","2021","July","Jackson",3077453.16
"403","2017","November","Deschutes",3064990.07
"404","2018","June","Marion",3062268.49
"405","2020","October","Jackson",3061353.8
"406","2017","August","Marion",3054792.65
"407","2022","April","Jackson",3050406.35
"408","2022","October","Jackson",3036167.54
"409","2022","May","Jackson",3026113.29
"410","2022","August","Jackson",3024000.71
"411","2022","March","Jackson",3018639.08
"412","2018","July","Marion",3013609.25
"413","2017","October","Deschutes",3009191.08
"414","2018","December","Jackson",3000426.93
"415","2017","September","Deschutes",2996422.35
"416","2018","October","Marion",2991608.22
"417","2017","November","Marion",2987067.6
"418","2018","May","Marion",2966703.93
"419","2018","March","Marion",2965411.92
"420","2022","September","Jackson",2962325.49
"421","2019","January","Deschutes",2958862.51
"422","2021","May","Jackson",2950916.18
"423","2018","April","Deschutes",2946346.66
"424","2019","September","Marion",2942011.6
"425","2020","January","Marion",2938636.61
"426","2021","April","Jackson",2918957.64
"427","2019","April","Marion",2917132.44
"428","2017","July","Marion",2897269.1
"429","2017","March","Deschutes",2896708.34
"430","2021","March","Jackson",2888812.83
"431","2020","November","Jackson",2886209.11
"432","2021","June","Jackson",2875899.58
"433","2020","May","Jackson",2865717.84
"434","2020","July","Jackson",2864832.76
"435","2017","December","Jackson",2843491.09
